Cost Comparison of On-Prem IT vs. Public Cloud for Google Demo Customer
,
Applied Filters
None
,
Additional Settings
Public Clouds Included,GCVE
Compare On-Prem IT as Configured to GCVE including only powered on VMs with rightsizing,No
,
On-Prem IT Cloud Simulator Settings
Physical Host System Cost,"$8,000"
Hardware/ Software Depreciation Term,5 years
Shared Storage Cost/ GB,$6.00
Average Host RAM Cost/ GB,$24.00
vSphere Support,Production
Hypervisor/ELA Discount,15%
Annual License Cost/ VM,$350
Annual License Cost/ Host,"$12,000"
Environmental Costs Excluded,No
Average Watts/ Host,"430"
Cost/ kWh Electricity,$0.105
Cooling to Power Ratio,"1.8"
,
Google Cloud VMware Engine Simulator Settings
Maximum CPU Oversubscription,Optimal - Hosts by CPU Demand
Dedupe / Compression Ratio,3:1
Storage Faults To Tolerate (FTT) / RAID,FTT 1 (Raid 1)
Allow VMware Horizon,Yes
GCP Location,Los Angeles (us-west2)
Term Length,3 Years
Secondary Storage Type,Google Cloud Storage
Secondary Storage Size (GB),"1,024 GB"
,
Rightsizing Criteria
Instance Rightsizing,
Rightsize VMs using,99th %-ile vCPU and Peak vRAM Usage
Additional vCPU Headroom,0%
Do not resize below CPU and Memory reservations,No
,
Cluster Rightsizing,
Additional vCPU Headroom,Current vCPU Peak Demand
Additional vRAM Headroom,Current vRAM Peak Usage
Additional Storage Headroom,Current Storage Configured
,
Other Rightsizing,
Rightsize VMs using,99th %-ile vCPU and Peak vRAM Usage
Do not resize below CPU and Memory reservations,No
Extra vCPU Headroom,0%
Extra vRAM Headroom,0%
Extra Storage (GB),"0"
,
Summary Table Data,
Cloud,Total VMs,Supported VMs,Cost of On Prem-IT Portion as Configured,Average Cost /VM for On Prem-IT Portion as Configured,Cost of Public Cloud Portion as Configured,Average Cost /VM for Public Cloud Portion as Configured,Total Cost as Configured,Overall Average Cost /VM as Configured,Cost of On Prem-IT Portion Rightsized,Average Cost /VM for On Prem-IT Portion Rightsized,Cost of Public Cloud Portion Rightsized,Average Cost /VM for Public Cloud Portion Rightsized,Total Cost Rightsized,Overall Average Cost /VM Rightsized
On-Prem IT,629,629,1117796,1777,0,0,1117796,1777,1114265,1771,0,0,1114265,1771
GCVE,629,629,0,0,948990,1508,948990,1508,0,0,948990,1508,948990,1508
,
Table Data
VM Name,Tags,VM State,Guest OS,On-Prem IT VM Cost /Year ($),On-Prem IT Adjusted Consumed VM Cost / Year ($),On-Prem IT VM Cost /Year As Configured ($),On-Prem IT VM Cost /Year Rightsized ($),Google Cloud VMware Engine As Configured ($),Google Cloud VMware Engine Rightsized ($),vCPU,vCPU Peak Usage (%),vCPU 99th %-ile Usage (%),vCPU 95th %-ile Usage (%),vRAM (GB),vRAM Peak Usage (%),Peak IOPS,Peak Reads,Peak Writes,Peak Latency (ms),vDisk Capacity (GB),vCenter Name,Cluster Name
VM-3294939,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3810,3810,3810,3810,Supported,Supported,8,,,,8.00,,,,,,900.00,demo.google.com,Cluster-c473761
VM-641247,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1007,1007,1007,1007,Supported,Supported,4,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-316861,PoweredOn,Powered Off,Debian GNU/Linux 6 (64-bit),704,704,704,704,Supported,Supported,1,,,,1.00,,,,,,2.00,demo.google.com,Cluster-c473761
VM-1699960,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8359,8359,8359,8359,Supported,Supported,4,,,,16.00,,,,,,2251.00,demo.google.com,Cluster-c344303
VM-2010936,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),802,802,802,802,Supported,Supported,1,,,,3.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-1406570,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),922,922,922,922,Supported,Supported,8,,,,8.00,,,,,,45.00,demo.google.com,Cluster-c862031
VM-640366,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),6246,6246,6246,6246,Supported,Supported,2,100,99,58,16.00,100,7809,4176,7057,2454,1630.00,demo.google.com,Cluster-c473761
VM-2677718,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),889,889,889,889,Supported,Supported,8,,,,16.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-1471027,PoweredOn,Powered Off,Microsoft Windows Server 2016 (64-bit),1050,1050,1050,1050,Supported,Supported,2,,,,4.00,,,,,,100.00,demo.google.com,Cluster-c862031
VM-113503,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1594,1594,1594,1594,Supported,Supported,2,,,,6.00,,,,,,260.00,demo.google.com,Cluster-c862031
VM-1961695,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),2123,2123,2123,2123,Supported,Supported,12,,,,24.00,,,,,,380.00,demo.google.com,Cluster-c472963
VM-1991539,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1363,1355,1363,1355,Supported,Supported,4,100,50,32,16.00,100,3529,3514,1254,5467,180.00,demo.google.com,Cluster-c473761
VM-3297124,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1279,1267,1279,1267,Supported,Supported,2,100,2,1,16.00,89,1129,1127,440,453,159.87,demo.google.com,Cluster-c473761
VM-3298183,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1108,1059,1108,1059,Supported,Supported,8,100,17,10,8.00,100,2429,2428,1060,3846,100.00,demo.google.com,Cluster-c473761
VM-1780934,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),2123,2123,2123,2123,Supported,Supported,12,,,,24.00,,,,,,380.00,demo.google.com,Cluster-c472963
VM-122326,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2266,2266,2266,2266,Supported,Supported,4,,,,12.00,,,,,,450.00,demo.google.com,Cluster-c473761
VM-744955,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1704,1704,1704,1704,Supported,Supported,8,,,,16.00,,,,,,271.00,demo.google.com,Cluster-c473761
VM-784,PoweredOn,Powered On,Other Linux (64-bit),858,800,858,800,Supported,Supported,8,21,8,7,2.00,100,449,297,245,5900,30.00,demo.google.com,Cluster-c473761
VM-1991518,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1228,1212,1228,1212,Supported,Supported,4,100,28,18,16.00,100,3530,1893,3060,4834,140.00,demo.google.com,Cluster-c473761
VM-529692,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1059,1059,1059,1059,Supported,Supported,2,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-3126974,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),915,915,915,915,Supported,Supported,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c862031
VM-1294236,PoweredOn,Powered Off,Other Linux (32-bit),698,698,698,698,Supported,Supported,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-613266,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4493,4493,4493,4493,Supported,Supported,4,,,,30.00,,,,,,1097.00,demo.google.com,Cluster-c473761
VM-428150,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1228,1219,1228,1219,Supported,Supported,2,100,25,3,8.00,100,992,786,939,2185,150.00,demo.google.com,Cluster-c473761
VM-515888_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),915,915,915,915,Supported,Supported,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c473761
VM-292310,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2953,2953,2953,2953,Supported,Supported,2,,,,24.00,,,,,,650.00,demo.google.com,Cluster-c344303
VM-122331,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 (32-bit),813,813,813,813,Supported,Supported,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-122311,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),767,767,767,767,Supported,Supported,1,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c473761
VM-1205705,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),915,915,915,915,Supported,Supported,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c862031
VM-3165996,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1300,1300,1300,1300,Supported,Supported,12,100,100,51,56.00,100,3058,1133,3056,5185,115.00,demo.google.com,Cluster-c473761
VM-64058,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1244,1244,1244,1244,Supported,Supported,4,,,,8.00,,,,,,150.00,demo.google.com,Cluster-c473761
VM-1324114,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1919,1903,1919,1903,Supported,Supported,4,90,48,39,8.00,100,8443,8437,3129,2013,350.00,demo.google.com,Cluster-c473761
VM-122730,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2003 (32-bit),1544,1544,1544,1544,Supported,Supported,1,,,,2.00,,,,,,250.00,demo.google.com,Cluster-c473761
VM-738447,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),884,876,884,876,Supported,Supported,2,82,1,1,4.00,100,884,727,672,1252,51.00,demo.google.com,Cluster-c473761
VM-1223029,Hadoop;PoweredOn,Powered On,FreeBSD (64-bit),775,774,775,774,Supported,Supported,2,100,61,41,2.00,73,811,604,225,4859,20.00,demo.google.com,Cluster-c473761
VM-1376240,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1041,1041,1041,1041,Supported,Supported,4,,,,8.00,,,,,,90.00,demo.google.com,Cluster-c473761
VM-1780998,PoweredOn,Powered Off,Microsoft Windows Server 2016 (64-bit),1078,1078,1078,1078,Supported,Supported,4,,,,8.00,,,,,,101.00,demo.google.com,Cluster-c473761
VM-1233270,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),813,813,813,813,Supported,Supported,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-997254,PoweredOn,Powered Off,Other 2.6.x Linux (64-bit),820,820,820,820,Supported,Supported,2,,,,4.00,,,,,,32.00,demo.google.com,Cluster-c473761
VM-2444293,PoweredOn,Powered Off,Red Hat Enterprise Linux 7 (64-bit),1093,1093,1093,1093,Supported,Supported,4,,,,16.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-2876293,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1300,1300,1300,1300,Supported,Supported,12,,,,56.00,,,,,,115.00,demo.google.com,Cluster-c473761
VM-433972,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1093,1093,1093,1093,Supported,Supported,4,,,,16.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-2859232,PoweredOn,Powered On,Red Hat Enterprise Linux 6 (64-bit),2689,2680,2689,2680,Supported,Supported,2,100,5,4,12.00,100,947,944,224,6666,580.00,demo.google.com,Cluster-c473761
VM-123026,PoweredOn,Powered Off,Red Hat Enterprise Linux 5 (32-bit),773,765,773,765,Supported,Supported,2,60,33,29,1.00,99,499,334,499,87,20.00,demo.google.com,Cluster-c344303
VM-1721311_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1397,1397,1397,1397,Supported,Supported,2,,,,8.00,,,,,,200.00,demo.google.com,Cluster-c344303
VM-394946,PoweredOn,Powered On,SUSE Linux Enterprise 11 (64-bit),753,753,753,753,Supported,Supported,1,76,1,1,3.52,100,324,320,46,1987,15.00,demo.google.com,Cluster-c473761
VM-3296911,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2818,2802,2818,2802,Supported,Supported,4,100,48,29,32.00,100,4867,4867,1158,1581,600.00,demo.google.com,Cluster-c473761
VM-847502,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1160,1160,1160,1160,Supported,Supported,4,,,,16.00,,,,,,120.00,demo.google.com,Cluster-c473761
VM-515887_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1050,1050,1050,1050,Supported,Supported,2,,,,4.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-1659314,PoweredOn,Powered Off,FreeBSD (64-bit),775,775,775,775,Supported,Supported,2,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c862031
VM-122312,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2444,2444,2444,2444,Supported,Supported,4,,,,16.00,,,,,,500.00,demo.google.com,Cluster-c473761
VM-229409,PoweredOn,Powered Off,Other Linux (32-bit),698,698,698,698,Supported,Supported,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-3297571,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1712,1712,1712,1712,Supported,Supported,2,100,70,31,16.00,100,1918,1824,1169,3414,288.00,demo.google.com,Cluster-c473761
VM-122396,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),2315,2306,2315,2306,Supported,Supported,2,98,12,5,3.00,100,1261,975,1132,1808,475.00,demo.google.com,Cluster-c473761
VM-458,PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),2410,2410,2410,2410,Supported,Supported,2,,,,8.00,,,,,,500.00,demo.google.com,Cluster-c473761
VM-2857443,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4133,4133,4133,4133,Supported,Supported,4,,,,16.00,,,,,,999.87,demo.google.com,Cluster-c344303
VM-887281,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),26904,26904,26904,26904,Supported,Supported,2,,,,4.00,,,,,,7753.00,demo.google.com,Cluster-c472963
VM-3297777,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),847,837,847,837,Supported,Supported,2,57,6,2,4.00,87,1327,1218,357,85,40.00,demo.google.com,Cluster-c473761
VM-427186,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1007,1007,1007,1007,Supported,Supported,4,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-122661,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2225,2225,2225,2225,Supported,Supported,2,,,,16.00,,,,,,440.00,demo.google.com,Cluster-c473761
VM-3290192,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1777,1777,1777,1777,Supported,Supported,16,,,,7.98,,,,,,278.47,demo.google.com,Cluster-c344303
VM-2882132,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1245,1245,1245,1245,Supported,Supported,6,,,,16.00,,,,,,140.00,demo.google.com,Cluster-c344303
VM-1385265,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1807,1807,1807,1807,Supported,Supported,16,,,,64.00,,,,,,250.00,demo.google.com,Cluster-c473761
VM-1367529,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),922,922,922,922,Supported,Supported,8,,,,8.00,,,,,,45.00,demo.google.com,Cluster-c344303
VM-475540,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),915,915,915,915,Supported,Supported,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c862031
VM-3287570,PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),764,764,764,764,Supported,Supported,1,,,,0.50,,,,,,20.00,demo.google.com,Cluster-c473761
VM-2634976,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3353,3353,3353,3353,Supported,Supported,10,,,,96.00,,,,,,701.00,demo.google.com,Cluster-c472963
VM-1590939,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),915,907,915,907,Supported,Supported,2,17,4,3,4.00,100,57,9,50,423,60.00,demo.google.com,Cluster-c473761
VM-3300581,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),743,742,743,742,Supported,Supported,1,38,4,3,3.00,80,265,260,6,719,12.50,demo.google.com,Cluster-c473761
VM-1906061,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1950,1950,1950,1950,Supported,Supported,4,,,,20.00,,,,,,351.00,demo.google.com,Cluster-c473761
VM-2466931,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1078,1078,1078,1078,Supported,Supported,4,100,89,85,8.00,100,1098,1029,920,1505,101.00,demo.google.com,Cluster-c473761
VM-1451056,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),697,697,697,697,Supported,Supported,1,,,,1.00,,,,,,0.10,demo.google.com,Cluster-c473761
VM-1454310,PoweredOn,Powered On,Red Hat Enterprise Linux 6 (64-bit),924,901,924,901,Supported,Supported,2,20,1,1,8.00,22,8,0,8,40,60.00,demo.google.com,Cluster-c473761
VM-1991514,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1228,1212,1228,1212,Supported,Supported,4,100,44,24,16.00,100,3006,2583,1237,1020,140.00,demo.google.com,Cluster-c473761
VM-427168,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),982,982,982,982,Supported,Supported,2,,,,4.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-3298337,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1042,1027,1042,1027,Supported,Supported,2,100,16,2,8.00,65,1280,1269,399,977,95.00,demo.google.com,Cluster-c473761
VM-2672126,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3289,3289,3289,3289,Supported,Supported,4,,,,16.00,,,,,,750.00,demo.google.com,Cluster-c472963
VM-3298667,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2484,2484,2484,2484,Supported,Supported,4,100,75,50,32.00,100,4393,4297,2461,1812,501.00,demo.google.com,Cluster-c473761
VM-2434076,"",Powered Off,Other (32-bit),1373,1373,1373,1373,Supported,Supported,1,,,,1.00,,,,,,200.00,demo.google.com,Cluster-c344303
VM-122760,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),731,731,731,731,Supported,Supported,1,,,,1.00,,,,,,10.00,demo.google.com,Cluster-c473761
VM-3104113,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1915,1915,1915,1915,Supported,Supported,1,,,,2.00,,,,,,360.00,demo.google.com,Cluster-c473761
VM-1699163,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),813,813,813,813,Supported,Supported,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-3296507,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1246,1245,1246,1245,Supported,Supported,2,100,67,36,16.00,98,1619,1520,1296,1876,150.00,demo.google.com,Cluster-c473761
VM-3298381,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1044,1003,1044,1003,Supported,Supported,8,100,31,17,8.00,100,1430,1296,852,2655,81.00,demo.google.com,Cluster-c473761
VM-1481532,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4133,4133,4133,4133,Supported,Supported,4,,,,16.00,,,,,,1000.00,demo.google.com,Cluster-c344303
VM-2677744,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),889,889,889,889,Supported,Supported,8,,,,16.00,,,,,,30.00,demo.google.com,Cluster-c473761
