Google Cloud VMware Engine Simulator for Google Demo Customer
,
Applied Filters
vCenter,demo.google.com
Datacenter,Datacenter-2
VM Support Filter,All Supported VMs
,
Card Settings
Maximum CPU Oversubscription,Optimal - Hosts by CPU Demand
Dedupe / Compression Ratio,3:1
Storage Faults To Tolerate (FTT) / RAID,FTT 1 (Raid 1)
Allow VMware Horizon,Yes
GCP Location,Los Angeles (us-west2)
Term Length,3 Years
Secondary Storage Type,Google Cloud Storage
Secondary Storage Size (GB),"1,024 GB"
,
Rightsizing Criteria
Additional vCPU Headroom,Current vCPU Peak Demand
Additional vRAM Headroom,Current vRAM Peak Usage
Additional vSAN Storage Headroom,Current vSAN Storage Configured
,
Annual GCVE Cost,$948990
,
Cloud Environment Recommendation
Hosts,"19"
Host Type,ve1-standard-72
Host Placement,
Cluster #1,16 Hosts
Cluster #2,3 Hosts
,
Table Data
VM Name,Tags,VM State,Guest OS,vCPU,Cores per Socket,vCPU Peak Demand (GHz),vRAM (GB),vRAM Peak Usage (%),Peak IOPS,Peak Reads,Peak Writes,Peak Latency (ms),vDisk Capacity (GB),vDisk Used (GB),Additional Storage (GB),Snapshots,Datastores,Networks,GCP Cluster,GCP VPC,vCenter Name,Cluster Name
VM-109678,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,8.00,,,,,,100.00,61.70,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1106428,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),1,1,,8.00,,,,,,300.00,281.54,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-112147,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),12,4,,30.00,,,,,,2220.00,2208.15,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1131228,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),1,1,,2.00,,,,,,20.00,11.83,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-113466,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),8,1,,16.00,,,,,,200.00,174.39,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-113488,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,1,,2.00,,,,,,1335.00,1335.00,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c472963
VM-113491,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),8,4,,32.00,,,,,,2090.00,2090.00,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c472963
VM-113492,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1,1,,4.00,,,,,,50.00,50.00,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c472963
VM-113493,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),4,4,,8.00,,,,,,325.00,325.00,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c472963
VM-113501,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,8.00,,,,,,175.00,65.44,,0,1,2,Cluster #2,VPC #1,demo.google.com,Cluster-c862031
VM-113503,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,6.00,,,,,,260.00,259.82,,0,1,2,Cluster #2,VPC #1,demo.google.com,Cluster-c862031
VM-113678,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,1,,32.00,,,,,,400.00,397.07,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-113685,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),4,4,,8.00,,,,,,620.00,558.52,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-113687,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,1,,2.00,,,,,,180.00,94.64,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-1145593,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),6,1,,10.00,,,,,,130.00,127.40,,3,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c472963
VM-1152114,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),4,2,9.86,16.00,100,801,645,795,1110,100.00,93.16,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1200373,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,4.00,,,,,,30.00,28.34,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1205705,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,4.00,,,,,,60.00,44.20,0.00,0,1,2,Cluster #2,VPC #1,demo.google.com,Cluster-c862031
VM-1220472,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,1,,4.00,,,,,,50.00,35.86,,0,1,7,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122289,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2,1,5.64,2.00,100,3918,3904,2002,1668,1000.00,999.96,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122300,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,12.00,,,,,,370.00,369.78,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122301,Hadoop;PoweredOn,Powered On,CentOS 4/5/6/7 (64-bit),4,4,3.23,4.00,100,666,660,265,4408,4116.00,2761.82,0.00,1,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122302,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),4,2,11.25,16.00,100,2973,2972,1085,3644,80.00,74.37,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1223024,Hadoop;PoweredOn,Powered On,FreeBSD (64-bit),2,1,2.51,2.00,90,17,6,17,5573,20.00,11.21,0.00,0,1,5,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1223029,Hadoop;PoweredOn,Powered On,FreeBSD (64-bit),2,1,4.62,2.00,73,811,604,225,4859,20.00,12.93,0.00,0,1,5,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122309,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),6,6,,16.00,,,,,,90.00,85.94,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122311,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1,1,,2.00,,,,,,20.00,11.06,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122312,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),4,4,,16.00,,,,,,500.00,498.12,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122319,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),8,4,6.57,3.00,100,864,860,673,4691,55.00,55.00,0.00,0,1,4,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122326,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),4,1,,12.00,,,,,,450.00,449.83,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122331,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 (32-bit),2,1,,4.00,,,,,,30.00,30.22,0.00,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122336,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),4,1,,4.00,,,,,,110.00,62.76,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122353,Hadoop;PoweredOn,Powered On,Other Linux (64-bit),2,1,2.01,4.00,61,692,663,63,3026,60.00,58.65,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122356,Hadoop;PoweredOn;win2008on;windows_power_on,Powered On,Microsoft Windows Server 2008 (32-bit),1,1,2.69,1.00,100,624,510,305,1067,25.00,24.94,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122359,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,8.00,,,,,,110.00,99.33,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122371,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),6,6,,16.00,,,,,,110.00,79.75,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122380,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,12.00,,,,,,430.00,424.54,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122381,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2003 Standard (32-bit),4,1,3.06,3.00,97,475,471,24,1440,20.00,18.55,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122387,Hadoop;PoweredOn;win2008on;windows_power_on,Powered On,Microsoft Windows Server 2008 (32-bit),1,1,2.93,4.00,94,1551,1536,787,1035,110.00,101.23,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122395,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1,1,2.79,3.00,100,1186,819,1053,2217,30.00,29.18,0.00,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122396,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),2,1,4.78,3.00,100,1261,975,1132,1808,475.00,400.91,0.00,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122398,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),8,4,,8.00,,,,,,60.00,60.00,,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c472963
VM-122617,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),8,4,5.83,8.00,100,995,707,990,879,55.00,45.94,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122619,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1,1,2.92,2.00,100,1335,1332,1154,14815,50.00,50.25,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122626,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),8,1,,32.00,,,,,,360.00,351.26,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122632,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,1,,12.00,,,,,,190.00,143.36,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122634,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1,1,2.88,2.00,100,782,537,776,1379,50.00,39.76,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122651,Hadoop;PoweredOn;win2008on;windows_power_on,Powered On,Microsoft Windows Server 2008 (32-bit),2,1,5.76,4.00,100,1366,1361,1112,1113,150.00,139.26,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122652,Hadoop;PoweredOn,Powered On,CentOS 4/5/6 (32-bit),1,1,1.68,0.25,100,1809,1806,109,8733,5.00,3.23,0.00,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122655,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2003 (64-bit),1,1,,1.00,,,,,,10.00,6.85,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122659,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,12.00,,,,,,400.00,399.12,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122661,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,16.00,,,,,,440.00,432.98,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122663,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,4.00,,,,,,420.00,403.99,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122687,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 (64-bit),1,1,,2.00,,,,,,25.00,18.77,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122689,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1,1,,2.00,,,,,,35.00,33.16,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122694,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,1,,4.00,,,,,,250.00,248.29,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122709,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2,2,5.41,4.00,100,2151,2145,1045,2681,70.00,69.89,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122712,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),2,2,5.76,4.00,100,1108,1054,701,3130,50.00,50.00,0.00,1,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122716,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),6,3,6.75,12.00,100,1588,1346,1064,1665,200.00,198.80,0.00,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122718,Hadoop;PoweredOn;win2008on;windows_power_on,Powered On,Microsoft Windows Server 2008 (32-bit),4,4,10.69,20.00,100,1692,1686,856,1058,200.00,62.71,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122719,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2,1,5.90,22.00,100,3796,3665,2214,1289,290.00,268.65,0.00,1,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122730,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2003 (32-bit),1,1,,2.00,,,,,,250.00,249.91,,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122742,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1,1,,2.00,,,,,,360.00,327.38,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122750,Hadoop;PoweredOn,Powered Off,Red Hat Enterprise Linux 5 (64-bit),1,1,,1.00,,,,,,0.10,0.00,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122754,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 (32-bit),1,1,,2.00,,,,,,20.00,11.92,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122760,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),1,1,,1.00,,,,,,10.00,4.68,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1229113,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),4,4,,8.00,,,,,,201.00,200.93,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-122980,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1,1,,3.00,,,,,,30.00,29.59,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-123026,PoweredOn,Powered Off,Red Hat Enterprise Linux 5 (32-bit),2,2,3.17,1.00,99,499,334,499,87,20.00,11.14,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-123047,PoweredOn,Powered Off,Microsoft Windows Server 2008 (64-bit),2,2,,32.00,,,,,,570.00,564.21,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-123048,PoweredOn,Powered Off,Microsoft Windows Server 2008 (64-bit),4,4,,32.00,,,,,,280.00,186.74,,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-123049,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,8.00,,,,,,360.00,353.94,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-123050,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1,1,,8.00,,,,,,190.00,174.63,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-123052,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,8.00,,,,,,360.00,336.70,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-123054,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2,2,,8.00,,,,,,2050.00,778.74,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-123072,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),4,1,,16.00,,,,,,400.00,399.93,,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-123078,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),8,8,9.16,16.00,100,2052,2045,876,1385,150.00,140.89,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-123079,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),4,4,7.84,16.00,100,9763,9753,901,1099,350.00,349.92,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-123081,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),4,1,4.91,16.00,100,1077,1077,622,1497,200.00,199.46,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1233262,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,4.00,,,,,,30.00,10.56,0.00,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1233270,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,4.00,,,,,,30.00,24.83,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1238299,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),1,1,,8.00,,,,,,80.00,14.34,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1240930,PoweredOn,Powered Off,Oracle Solaris 10 (64-bit),2,1,,2.00,,,,,,20.00,7.83,0.00,0,1,3,Cluster #2,VPC #1,demo.google.com,Cluster-c862031
VM-125422,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2,2,6.26,8.00,100,653,434,653,716,101.00,79.23,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-125425,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),4,4,,8.00,,,,,,300.00,299.32,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1255749,PoweredOn,Powered Off,Microsoft Windows Server 2008 (32-bit),2,2,,4.00,,,,,,450.00,448.43,,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1261690,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),2,2,,4.00,,,,,,200.00,67.38,,0,1,1,Cluster #2,VPC #1,demo.google.com,Cluster-c862031
VM-127072,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4,2,,8.00,,,,,,110.00,102.67,,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1279503,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,6.00,,,,,,2468.00,2337.52,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-128769,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1,1,2.89,3.00,100,2252,1465,1337,367,50.00,42.20,0.00,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1294222,PoweredOn,Powered Off,Other Linux (32-bit),1,1,,0.13,,,,,,1.00,0.84,,0,1,4,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1294232,PoweredOn,Powered Off,Other Linux (32-bit),1,1,,0.13,,,,,,1.00,0.84,,0,1,4,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1294234,PoweredOn,Powered Off,Other Linux (32-bit),1,1,,0.13,,,,,,1.00,0.84,,0,1,4,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1294236,PoweredOn,Powered Off,Other Linux (32-bit),1,1,,0.13,,,,,,1.00,0.84,,0,1,4,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1295378,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,12.00,,,,,,320.00,318.34,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-1308494,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),10,5,29.14,50.00,100,21624,21547,3412,6538,250.00,250.00,0.00,0,1,6,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1308495,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8,4,,4.00,,,,,,45.00,25.39,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-1308590,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8,4,,8.00,,,,,,45.00,25.73,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-1308622,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8,4,,8.00,,,,,,45.00,26.09,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-1322837,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,4.00,,,,,,150.00,30.22,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1324114,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),4,2,8.01,8.00,100,8443,8437,3129,2013,350.00,349.54,0.00,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-134599,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),1,1,,2.00,,,,,,40.00,25.41,0.00,0,1,1,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1367529,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8,4,,8.00,,,,,,45.00,25.80,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-1367533,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8,4,,4.00,,,,,,45.00,25.82,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-1367551,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8,4,,8.00,,,,,,45.00,25.77,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-1367553,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8,4,,8.00,,,,,,45.00,27.64,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c344303
VM-1376240,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4,4,,8.00,,,,,,90.00,71.82,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1385264,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,16.00,,,,,,1060.00,992.46,,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
