GCP Cloud Simulator for Google Demo Customer
,
Applied Filters
vCenter,demo.google.com
Datacenter,Datacenter-2
VM Match Filter,All Matched VMs
,
Card Settings
GCP Location,Iowa (us-central1)
Storage Type,Zonal
Storage Media,Optimal
Instance CPU,Intel Based
Match to standard instances only,No
Exclude E2 instances,No
Consider GPUs when,GPUs Already in Place
Match to GPUs providing,Best Performance
Include Sole Tenant Nodes,Yes
Allow Oversubscription,Yes
BYO Microsoft Licenses,Yes
Exclude Live Migration Nodes,No
Allow Desktop OS/MSDN,No
Term Length,3 Years
Instance Class,Regular
BYO Linux Licenses,Yes
,
Rightsizing Criteria
Rightsize VMs using,VM as Configured
,
Table Data
VM Name,Tags,VM State,Guest OS,VM Cost / Year ($),Instance Cost Portion ($),Sole Tenant Node Cost Portion ($),GPU Cost Portion ($),OS Cost Portion ($),Storage Cost Portion ($),Instance,Instance vCPU,Instance vRAM (GB),Sole Tenant Node,GCP GPU,Storage Media,vCPU,vCPU Peak Usage (%),vCPU 99th %-ile Usage (%),vCPU 95th %-ile Usage (%),vRAM (GB),vRAM Peak Usage (%),Peak IOPS,Peak Reads,Peak Writes,Peak Latency (ms),vDisk Capacity (GB),vCenter Name,Cluster Name
VM-3296854,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),896,132,0,0,0,764,e2-medium,1,4.00,,0,SSD,1,100,38,5,3.00,99,1996,1533,560,1175,374.52,demo.google.com,Cluster-c473761
VM-1912506_replica,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),711,0,466,0,0,245,n1-custom,2,8.00," Node #4",0,HDD,2,,,,8.00,,,,,,510.00,demo.google.com,Cluster-c472963
VM-1229113,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),789,0,693,0,0,96,n1-custom,4,8.00," Node #1",0,HDD,4,,,,8.00,,,,,,201.00,demo.google.com,Cluster-c473761
VM-1726022,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1162,0,1148,0,0,14,n1-custom,8,8.00," Node #2",0,HDD,8,,,,8.00,,,,,,30.00,demo.google.com,Cluster-c344303
VM-3300543,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),158,132,0,0,0,26,e2-medium,1,4.00,,0,SSD,1,38,7,4,3.00,82,47,45,4,310,12.50,demo.google.com,Cluster-c473761
VM-1912536,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1574,0,921,0,0,653,n1-custom,6,8.00," Node #5",0,SSD,6,100,21,9,8.00,100,2899,2898,2056,3275,320.00,demo.google.com,Cluster-c473761
VM-122381,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2003 Standard (32-bit),608,0,567,0,0,41,n1-custom,4,3.75," Node #7",0,SSD,4,100,6,2,3.00,97,475,471,24,1440,20.00,demo.google.com,Cluster-c473761
VM-1817265,PoweredOn,Powered Off,FreeBSD (64-bit),205,195,0,0,0,10,e2-highcpu-2,2,2.00,,0,HDD,2,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c862031
VM-122301,Hadoop;PoweredOn,Powered On,CentOS 4/5/6/7 (64-bit),2366,390,0,0,0,1976,e2-highcpu-4,4,4.00,,0,HDD,4,33,4,1,4.00,100,666,660,265,4408,4116.00,demo.google.com,Cluster-c473761
VM-1454238,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),142,132,0,0,0,10,e2-medium,1,4.00,,0,HDD,1,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c473761
VM-3111843,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),712,0,466,0,0,246,n1-custom,2,8.00," Node #7",0,HDD,2,,,,8.00,,,,,,512.00,demo.google.com,Cluster-c473761
VM-3232119,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3090,0,3035,0,0,55,n1-custom,12,56.00," Node #11",0,HDD,12,,,,56.00,,,,,,115.00,demo.google.com,Cluster-c473761
VM-1455665,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4338,0,4002,0,0,336,n1-custom,10,96.00," Node #3",0,HDD,10,,,,96.00,,,,,,701.00,demo.google.com,Cluster-c473761
VM-1495799,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1511,0,693,0,0,818,n1-custom,4,8.00," Node #10",0,SSD,4,90,56,37,8.00,100,926,508,811,1093,401.00,demo.google.com,Cluster-c473761
VM-3214649,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),460,436,0,0,0,24,e2-custom,4,8.00,,0,HDD,4,,,,8.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-113493,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),849,0,693,0,0,156,n1-custom,4,8.00," Node #9",0,HDD,4,,,,8.00,,,,,,325.00,demo.google.com,Cluster-c472963
VM-3294939,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1580,0,1148,0,0,432,n1-custom,8,8.00," Node #8",0,HDD,8,,,,8.00,,,,,,900.00,demo.google.com,Cluster-c473761
VM-641247,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),731,0,693,0,0,38,n1-custom,4,8.00," Node #13",0,HDD,4,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-316861,PoweredOn,Powered Off,Debian GNU/Linux 6 (64-bit),133,132,0,0,0,1,e2-medium,1,4.00,,0,HDD,1,,,,1.00,,,,,,2.00,demo.google.com,Cluster-c473761
VM-1699960,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2012,0,932,0,0,1080,n1-custom,4,16.00," Node #13",0,HDD,4,,,,16.00,,,,,,2251.00,demo.google.com,Cluster-c344303
VM-2010936,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),331,0,317,0,0,14,n1-custom,2,3.00," Node #4",0,HDD,1,,,,3.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-1406570,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1170,0,1148,0,0,22,n1-custom,8,8.00," Node #12",0,HDD,8,,,,8.00,,,,,,45.00,demo.google.com,Cluster-c862031
VM-640366,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),4030,0,705,0,0,3325,n1-custom,2,16.00," Node #2",0,SSD,2,100,99,58,16.00,100,7809,4176,7057,2454,1630.00,demo.google.com,Cluster-c473761
VM-2677718,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1401,0,1387,0,0,14,n1-custom,8,16.00," Node #6",0,HDD,8,,,,16.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-1471027,PoweredOn,Powered Off,Microsoft Windows Server 2016 (64-bit),395,0,347,0,0,48,n1-custom,2,4.00," Node #13",0,HDD,2,,,,4.00,,,,,,100.00,demo.google.com,Cluster-c862031
VM-113503,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),531,0,406,0,0,125,n1-custom,2,6.00," Node #6",0,HDD,2,,,,6.00,,,,,,260.00,demo.google.com,Cluster-c862031
VM-1961695,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),1490,1308,0,0,0,182,e2-custom,12,24.00,,0,HDD,12,,,,24.00,,,,,,380.00,demo.google.com,Cluster-c472963
VM-1991539,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1299,0,932,0,0,367,n1-custom,4,16.00," Node #8",0,SSD,4,100,50,32,16.00,100,3529,3514,1254,5467,180.00,demo.google.com,Cluster-c473761
VM-3297124,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1031,0,705,0,0,326,n1-custom,2,16.00," Node #9",0,SSD,2,100,2,1,16.00,89,1129,1127,440,453,159.87,demo.google.com,Cluster-c473761
VM-3298183,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1352,0,1148,0,0,204,n1-custom,8,8.00," Node #11",0,SSD,8,100,17,10,8.00,100,2429,2428,1060,3846,100.00,demo.google.com,Cluster-c473761
VM-1780934,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),1490,1308,0,0,0,182,e2-custom,12,24.00,,0,HDD,12,,,,24.00,,,,,,380.00,demo.google.com,Cluster-c472963
VM-122326,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1029,0,813,0,0,216,n1-custom,4,12.00," Node #13",0,HDD,4,,,,12.00,,,,,,450.00,demo.google.com,Cluster-c473761
VM-744955,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1517,0,1387,0,0,130,n1-custom,8,16.00," Node #10",0,HDD,8,,,,16.00,,,,,,271.00,demo.google.com,Cluster-c473761
VM-784,PoweredOn,Powered On,Other Linux (64-bit),795,734,0,0,0,61,e2-custom,8,4.00,,0,SSD,8,21,8,7,2.00,100,449,297,245,5900,30.00,demo.google.com,Cluster-c473761
VM-1991518,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1218,0,932,0,0,286,n1-custom,4,16.00," Node #7",0,SSD,4,100,28,18,16.00,100,3530,1893,3060,4834,140.00,demo.google.com,Cluster-c473761
VM-529692,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),514,0,466,0,0,48,n1-custom,2,8.00," Node #6",0,HDD,2,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-3126974,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),376,0,347,0,0,29,n1-custom,2,4.00," Node #8",0,HDD,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c862031
VM-1294236,PoweredOn,Powered Off,Other Linux (32-bit),132,132,0,0,0,0,e2-medium,1,4.00,,0,HDD,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-613266,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1877,0,1350,0,0,527,n1-custom,4,30.00," Node #12",0,HDD,4,,,,30.00,,,,,,1097.00,demo.google.com,Cluster-c473761
VM-428150,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),772,0,466,0,0,306,n1-custom,2,8.00," Node #3",0,SSD,2,100,25,3,8.00,100,992,786,939,2185,150.00,demo.google.com,Cluster-c473761
VM-515888_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),376,0,347,0,0,29,n1-custom,2,4.00," Node #9",0,HDD,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c473761
VM-292310,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1256,0,944,0,0,312,n1-custom,2,24.00," Node #4",0,HDD,2,,,,24.00,,,,,,650.00,demo.google.com,Cluster-c344303
VM-122331,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 (32-bit),361,0,347,0,0,14,n1-custom,2,4.00," Node #10",0,HDD,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-122311,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),297,0,287,0,0,10,n1-custom,2,2.00," Node #6",0,HDD,1,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c473761
VM-1205705,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),376,0,347,0,0,29,n1-custom,2,4.00," Node #7",0,HDD,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c862031
VM-3165996,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),3270,0,3035,0,0,235,n1-custom,12,56.00," Node #1",0,SSD,12,100,100,51,56.00,100,3058,1133,3056,5185,115.00,demo.google.com,Cluster-c473761
VM-64058,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),765,0,693,0,0,72,n1-custom,4,8.00," Node #4",0,HDD,4,,,,8.00,,,,,,150.00,demo.google.com,Cluster-c473761
VM-1324114,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1407,0,693,0,0,714,n1-custom,4,8.00," Node #1",0,SSD,4,90,48,39,8.00,100,8443,8437,3129,2013,350.00,demo.google.com,Cluster-c473761
VM-122730,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2003 (32-bit),407,0,287,0,0,120,n1-custom,2,2.00," Node #5",0,HDD,1,,,,2.00,,,,,,250.00,demo.google.com,Cluster-c473761
VM-738447,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),451,0,347,0,0,104,n1-custom,2,4.00," Node #5",0,SSD,2,82,1,1,4.00,100,884,727,672,1252,51.00,demo.google.com,Cluster-c473761
VM-1223029,Hadoop;PoweredOn,Powered On,FreeBSD (64-bit),173,132,0,0,0,41,e2-medium,1,4.00,,0,SSD,2,100,61,41,2.00,73,811,604,225,4859,20.00,demo.google.com,Cluster-c473761
VM-1376240,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),736,0,693,0,0,43,n1-custom,4,8.00," Node #2",0,HDD,4,,,,8.00,,,,,,90.00,demo.google.com,Cluster-c473761
VM-1780998,PoweredOn,Powered Off,Microsoft Windows Server 2016 (64-bit),741,0,693,0,0,48,n1-custom,4,8.00," Node #11",0,HDD,4,,,,8.00,,,,,,101.00,demo.google.com,Cluster-c473761
VM-1233270,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),361,0,347,0,0,14,n1-custom,2,4.00," Node #3",0,HDD,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-997254,PoweredOn,Powered Off,Other 2.6.x Linux (64-bit),233,218,0,0,0,15,e2-custom,2,4.00,,0,HDD,2,,,,4.00,,,,,,32.00,demo.google.com,Cluster-c473761
VM-2444293,PoweredOn,Powered Off,Red Hat Enterprise Linux 7 (64-bit),576,528,0,0,0,48,e2-standard-4,4,16.00,,0,HDD,4,,,,16.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-2876293,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3090,0,3035,0,0,55,n1-custom,12,56.00," Node #2",0,HDD,12,,,,56.00,,,,,,115.00,demo.google.com,Cluster-c473761
VM-433972,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),980,0,932,0,0,48,n1-custom,4,16.00," Node #5",0,HDD,4,,,,16.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-2859232,PoweredOn,Powered On,Red Hat Enterprise Linux 6 (64-bit),1493,310,0,0,0,1183,e2-custom,2,12.00,,0,SSD,2,100,5,4,12.00,100,947,944,224,6666,580.00,demo.google.com,Cluster-c473761
VM-123026,PoweredOn,Powered Off,Red Hat Enterprise Linux 5 (32-bit),173,132,0,0,0,41,e2-medium,1,4.00,,0,SSD,2,60,33,29,1.00,99,499,334,499,87,20.00,demo.google.com,Cluster-c344303
VM-1721311_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),562,0,466,0,0,96,n1-custom,2,8.00," Node #12",0,HDD,2,,,,8.00,,,,,,200.00,demo.google.com,Cluster-c344303
VM-394946,PoweredOn,Powered On,SUSE Linux Enterprise 11 (64-bit),163,132,0,0,0,31,e2-medium,1,4.00,,0,SSD,1,76,1,1,3.52,100,324,320,46,1987,15.00,demo.google.com,Cluster-c473761
VM-3296911,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2634,0,1410,0,0,1224,n1-custom,4,32.00," Node #10",0,SSD,4,100,48,29,32.00,100,4867,4867,1158,1581,600.00,demo.google.com,Cluster-c473761
VM-847502,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),990,0,932,0,0,58,n1-custom,4,16.00," Node #3",0,HDD,4,,,,16.00,,,,,,120.00,demo.google.com,Cluster-c473761
VM-515887_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),395,0,347,0,0,48,n1-custom,2,4.00," Node #4",0,HDD,2,,,,4.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-1659314,PoweredOn,Powered Off,FreeBSD (64-bit),205,195,0,0,0,10,e2-highcpu-2,2,2.00,,0,HDD,2,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c862031
VM-122312,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1172,0,932,0,0,240,n1-custom,4,16.00," Node #4",0,HDD,4,,,,16.00,,,,,,500.00,demo.google.com,Cluster-c473761
VM-229409,PoweredOn,Powered Off,Other Linux (32-bit),132,132,0,0,0,0,e2-medium,1,4.00,,0,HDD,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-3297571,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1293,0,705,0,0,588,n1-custom,2,16.00," Node #1",0,SSD,2,100,70,31,16.00,100,1918,1824,1169,3414,288.00,demo.google.com,Cluster-c473761
VM-122396,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1286,0,317,0,0,969,n1-custom,2,3.00," Node #5",0,SSD,2,98,12,5,3.00,100,1261,975,1132,1808,475.00,demo.google.com,Cluster-c473761
VM-458,PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),706,0,466,0,0,240,n1-custom,2,8.00," Node #13",0,HDD,2,,,,8.00,,,,,,500.00,demo.google.com,Cluster-c473761
VM-2857443,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1412,0,932,0,0,480,n1-custom,4,16.00," Node #2",0,HDD,4,,,,16.00,,,,,,999.87,demo.google.com,Cluster-c344303
VM-887281,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4068,0,347,0,0,3721,n1-custom,2,4.00," Node #5",0,HDD,2,,,,4.00,,,,,,7753.00,demo.google.com,Cluster-c472963
VM-3297777,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),429,0,347,0,0,82,n1-custom,2,4.00," Node #7",0,SSD,2,57,6,2,4.00,87,1327,1218,357,85,40.00,demo.google.com,Cluster-c473761
VM-427186,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),731,0,693,0,0,38,n1-custom,4,8.00," Node #8",0,HDD,4,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-122661,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),916,0,705,0,0,211,n1-custom,2,16.00," Node #13",0,HDD,2,,,,16.00,,,,,,440.00,demo.google.com,Cluster-c473761
VM-3290192,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2385,0,2251,0,0,134,n1-custom,16,14.50," Node #2",0,HDD,16,,,,7.98,,,,,,278.47,demo.google.com,Cluster-c344303
VM-2882132,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1226,0,1159,0,0,67,n1-custom,6,16.00," Node #12",0,HDD,6,,,,16.00,,,,,,140.00,demo.google.com,Cluster-c344303
VM-1385265,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3849,0,3729,0,0,120,n1-custom,16,64.00," Node #1",0,HDD,16,,,,64.00,,,,,,250.00,demo.google.com,Cluster-c473761
VM-1367529,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1170,0,1148,0,0,22,n1-custom,8,8.00," Node #9",0,HDD,8,,,,8.00,,,,,,45.00,demo.google.com,Cluster-c344303
VM-475540,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),376,0,347,0,0,29,n1-custom,2,4.00," Node #10",0,HDD,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c862031
VM-3287570,PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),297,0,287,0,0,10,n1-custom,2,2.00," Node #2",0,HDD,1,,,,0.50,,,,,,20.00,demo.google.com,Cluster-c473761
VM-2634976,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4338,0,4002,0,0,336,n1-custom,10,96.00," Node #5",0,HDD,10,,,,96.00,,,,,,701.00,demo.google.com,Cluster-c472963
VM-1590939,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),376,0,347,0,0,29,n1-custom,2,4.00," Node #9",0,HDD,2,17,4,3,4.00,100,57,9,50,423,60.00,demo.google.com,Cluster-c473761
VM-3300581,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),158,132,0,0,0,26,e2-medium,1,4.00,,0,SSD,1,38,4,3,3.00,80,265,260,6,719,12.50,demo.google.com,Cluster-c473761
VM-1906061,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1220,0,1052,0,0,168,n1-custom,4,20.00," Node #12",0,HDD,4,,,,20.00,,,,,,351.00,demo.google.com,Cluster-c473761
VM-2466931,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),899,0,693,0,0,206,n1-custom,4,8.00," Node #10",0,SSD,4,100,89,85,8.00,100,1098,1029,920,1505,101.00,demo.google.com,Cluster-c473761
VM-1451056,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),132,132,0,0,0,0,e2-medium,1,4.00,,0,HDD,1,,,,1.00,,,,,,0.10,demo.google.com,Cluster-c473761
VM-1454310,PoweredOn,Powered On,Red Hat Enterprise Linux 6 (64-bit),293,264,0,0,0,29,e2-standard-2,2,8.00,,0,HDD,2,20,1,1,8.00,22,8,0,8,40,60.00,demo.google.com,Cluster-c473761
VM-1991514,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1218,0,932,0,0,286,n1-custom,4,16.00," Node #11",0,SSD,4,100,44,24,16.00,100,3006,2583,1237,1020,140.00,demo.google.com,Cluster-c473761
VM-427168,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),385,0,347,0,0,38,n1-custom,2,4.00," Node #8",0,HDD,2,,,,4.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-3298337,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),660,0,466,0,0,194,n1-custom,2,8.00," Node #7",0,SSD,2,100,16,2,8.00,65,1280,1269,399,977,95.00,demo.google.com,Cluster-c473761
VM-2672126,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1292,0,932,0,0,360,n1-custom,4,16.00," Node #6",0,HDD,4,,,,16.00,,,,,,750.00,demo.google.com,Cluster-c472963
VM-3298667,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2432,0,1410,0,0,1022,n1-custom,4,32.00," Node #7",0,SSD,4,100,75,50,32.00,100,4393,4297,2461,1812,501.00,demo.google.com,Cluster-c473761
VM-122760,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),292,0,287,0,0,5,n1-custom,2,2.00," Node #3",0,HDD,1,,,,1.00,,,,,,10.00,demo.google.com,Cluster-c473761
VM-3104113,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),460,0,287,0,0,173,n1-custom,2,2.00," Node #7",0,HDD,1,,,,2.00,,,,,,360.00,demo.google.com,Cluster-c473761
VM-1699163,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),361,0,347,0,0,14,n1-custom,2,4.00," Node #13",0,HDD,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-3296507,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1011,0,705,0,0,306,n1-custom,2,16.00," Node #5",0,SSD,2,100,67,36,16.00,98,1619,1520,1296,1876,150.00,demo.google.com,Cluster-c473761
VM-3298381,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1313,0,1148,0,0,165,n1-custom,8,8.00," Node #5",0,SSD,8,100,31,17,8.00,100,1430,1296,852,2655,81.00,demo.google.com,Cluster-c473761
VM-1481532,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1412,0,932,0,0,480,n1-custom,4,16.00," Node #7",0,HDD,4,,,,16.00,,,,,,1000.00,demo.google.com,Cluster-c344303
