On-Prem IT Cloud Simulator for Google Demo Customer
,
Applied Filters
None
,
Card Settings
Physical Host System Cost,"$8,000"
Hardware/ Software Depreciation Term,5 years
Shared Storage Cost/ GB,$6.00
Average Host RAM Cost/ GB,$24.00
vSphere Support,Production
Hypervisor/ELA Discount,15%
Annual License Cost/ VM,$350
Annual License Cost/ Host,"$12,000"
Environmental Costs Excluded,No
Average Watts/ Host,"430"
Cost/ kWh Electricity,$0.105
Cooling to Power Ratio,"1.8"
,
Rightsizing Criteria
If the configuration was at,Peak vCPU and Peak vRAM Usage
Do not resize below CPU and Memory reservations,No
,
Table Data
VM Name,Tags,VM State,Guest OS,VM Cost / Year ($),Compute Cost Portion ($),Storage Cost Portion ($),Adjusted Consumed VM Cost / Year ($),Adjusted Consumed Compute Cost Portion ($),Adjusted Consumed Storage Cost Portion ($),vCPU,vCPU Peak Usage (%),vCPU 99th %-ile Usage (%),vCPU 95th %-ile Usage (%),vRAM (GB),vRAM Peak Usage (%),Peak IOPS,Peak Reads,Peak Writes,Peak Latency (ms),vDisk Capacity (GB),vCenter Name,Cluster Name
VM-3300543,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),743,701,42,742,700,42,1,38,7,4,3.00,82,47,45,4,310,12.50,demo.google.com,Cluster-c473761
VM-1912536,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1835,754,1081,1835,754,1081,6,100,21,9,8.00,100,2899,2898,2056,3275,320.00,demo.google.com,Cluster-c473761
VM-122381,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2003 Standard (32-bit),794,726,68,794,726,68,4,100,6,2,3.00,97,475,471,24,1440,20.00,demo.google.com,Cluster-c473761
VM-1817265,PoweredOn,Powered Off,FreeBSD (64-bit),775,707,68,,,68,2,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c862031
VM-122301,Hadoop;PoweredOn,Powered On,CentOS 4/5/6/7 (64-bit),14633,728,13905,14617,712,13905,4,33,4,1,4.00,100,666,660,265,4408,4116.00,demo.google.com,Cluster-c473761
VM-1454238,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),767,699,68,,,68,1,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c473761
VM-3111843,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2451,721,1730,,,1730,2,,,,8.00,,,,,,512.00,demo.google.com,Cluster-c473761
VM-3232119,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1300,911,389,,,389,12,,,,56.00,,,,,,115.00,demo.google.com,Cluster-c473761
VM-1455665,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3353,985,2368,,,2368,10,,,,96.00,,,,,,701.00,demo.google.com,Cluster-c473761
VM-1495799,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),2092,737,1355,2092,737,1355,4,90,56,37,8.00,100,926,508,811,1093,401.00,demo.google.com,Cluster-c473761
VM-3214649,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),906,737,169,,,169,4,,,,8.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-113493,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1835,737,1098,,,1098,4,,,,8.00,,,,,,325.00,demo.google.com,Cluster-c472963
VM-3294939,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3810,770,3040,,,3040,8,,,,8.00,,,,,,900.00,demo.google.com,Cluster-c473761
VM-641247,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1007,737,270,,,270,4,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-316861,PoweredOn,Powered Off,Debian GNU/Linux 6 (64-bit),704,697,7,,,7,1,,,,1.00,,,,,,2.00,demo.google.com,Cluster-c473761
VM-1699960,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8359,755,7604,,,7604,4,,,,16.00,,,,,,2251.00,demo.google.com,Cluster-c344303
VM-2010936,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),802,701,101,,,101,1,,,,3.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-1406570,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),922,770,152,,,152,8,,,,8.00,,,,,,45.00,demo.google.com,Cluster-c862031
VM-640366,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),6246,739,5507,6246,739,5507,2,100,99,58,16.00,100,7809,4176,7057,2454,1630.00,demo.google.com,Cluster-c473761
VM-2677718,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),889,788,101,,,101,8,,,,16.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-1471027,PoweredOn,Powered Off,Microsoft Windows Server 2016 (64-bit),1050,712,338,,,338,2,,,,4.00,,,,,,100.00,demo.google.com,Cluster-c862031
VM-113503,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1594,716,878,,,878,2,,,,6.00,,,,,,260.00,demo.google.com,Cluster-c862031
VM-1961695,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),2123,839,1284,,,1284,12,,,,24.00,,,,,,380.00,demo.google.com,Cluster-c472963
VM-1991539,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1363,755,608,1363,755,608,4,100,50,32,16.00,100,3529,3514,1254,5467,180.00,demo.google.com,Cluster-c473761
VM-3297124,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1279,739,540,1275,735,540,2,100,2,1,16.00,89,1129,1127,440,453,159.87,demo.google.com,Cluster-c473761
VM-3298183,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1108,770,338,1108,770,338,8,100,17,10,8.00,100,2429,2428,1060,3846,100.00,demo.google.com,Cluster-c473761
VM-1780934,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),2123,839,1284,,,1284,12,,,,24.00,,,,,,380.00,demo.google.com,Cluster-c472963
VM-122326,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2266,746,1520,,,1520,4,,,,12.00,,,,,,450.00,demo.google.com,Cluster-c473761
VM-744955,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1704,788,916,,,916,8,,,,16.00,,,,,,271.00,demo.google.com,Cluster-c473761
VM-784,PoweredOn,Powered On,Other Linux (64-bit),858,757,101,808,707,101,8,21,8,7,2.00,100,449,297,245,5900,30.00,demo.google.com,Cluster-c473761
VM-1991518,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1228,755,473,1228,755,473,4,100,28,18,16.00,100,3530,1893,3060,4834,140.00,demo.google.com,Cluster-c473761
VM-529692,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1059,721,338,,,338,2,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-3126974,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),915,712,203,,,203,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c862031
VM-1294236,PoweredOn,Powered Off,Other Linux (32-bit),698,695,3,,,3,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-613266,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4493,787,3706,,,3706,4,,,,30.00,,,,,,1097.00,demo.google.com,Cluster-c473761
VM-428150,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1228,721,507,1228,721,507,2,100,25,3,8.00,100,992,786,939,2185,150.00,demo.google.com,Cluster-c473761
VM-515888_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),915,712,203,,,203,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c473761
VM-292310,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2953,757,2196,,,2196,2,,,,24.00,,,,,,650.00,demo.google.com,Cluster-c344303
VM-122331,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 (32-bit),813,712,101,,,101,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-122311,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),767,699,68,,,68,1,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c473761
VM-1205705,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),915,712,203,,,203,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c862031
VM-3165996,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1300,911,389,1300,911,389,12,100,100,51,56.00,100,3058,1133,3056,5185,115.00,demo.google.com,Cluster-c473761
VM-64058,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1244,737,507,,,507,4,,,,8.00,,,,,,150.00,demo.google.com,Cluster-c473761
VM-1324114,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1919,737,1182,1919,737,1182,4,90,48,39,8.00,100,8443,8437,3129,2013,350.00,demo.google.com,Cluster-c473761
VM-122730,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2003 (32-bit),1544,699,845,,,845,1,,,,2.00,,,,,,250.00,demo.google.com,Cluster-c473761
VM-738447,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),884,712,172,884,712,172,2,82,1,1,4.00,100,884,727,672,1252,51.00,demo.google.com,Cluster-c473761
VM-1223029,Hadoop;PoweredOn,Powered On,FreeBSD (64-bit),775,707,68,774,706,68,2,100,61,41,2.00,73,811,604,225,4859,20.00,demo.google.com,Cluster-c473761
VM-1376240,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1041,737,304,,,304,4,,,,8.00,,,,,,90.00,demo.google.com,Cluster-c473761
VM-1780998,PoweredOn,Powered Off,Microsoft Windows Server 2016 (64-bit),1078,737,341,,,341,4,,,,8.00,,,,,,101.00,demo.google.com,Cluster-c473761
VM-1233270,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),813,712,101,,,101,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-997254,PoweredOn,Powered Off,Other 2.6.x Linux (64-bit),820,712,108,,,108,2,,,,4.00,,,,,,32.00,demo.google.com,Cluster-c473761
VM-2444293,PoweredOn,Powered Off,Red Hat Enterprise Linux 7 (64-bit),1093,755,338,,,338,4,,,,16.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-2876293,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1300,911,389,,,389,12,,,,56.00,,,,,,115.00,demo.google.com,Cluster-c473761
VM-433972,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1093,755,338,,,338,4,,,,16.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-2859232,PoweredOn,Powered On,Red Hat Enterprise Linux 6 (64-bit),2689,730,1959,2689,730,1959,2,100,5,4,12.00,100,947,944,224,6666,580.00,demo.google.com,Cluster-c473761
VM-123026,PoweredOn,Powered Off,Red Hat Enterprise Linux 5 (32-bit),773,705,68,773,705,68,2,60,33,29,1.00,99,499,334,499,87,20.00,demo.google.com,Cluster-c344303
VM-1721311_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1397,721,676,,,676,2,,,,8.00,,,,,,200.00,demo.google.com,Cluster-c344303
VM-394946,PoweredOn,Powered On,SUSE Linux Enterprise 11 (64-bit),753,702,51,753,702,51,1,76,1,1,3.52,100,324,320,46,1987,15.00,demo.google.com,Cluster-c473761
VM-3296911,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2818,791,2027,2818,791,2027,4,100,48,29,32.00,100,4867,4867,1158,1581,600.00,demo.google.com,Cluster-c473761
VM-847502,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1160,755,405,,,405,4,,,,16.00,,,,,,120.00,demo.google.com,Cluster-c473761
VM-515887_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1050,712,338,,,338,2,,,,4.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-1659314,PoweredOn,Powered Off,FreeBSD (64-bit),775,707,68,,,68,2,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c862031
VM-122312,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2444,755,1689,,,1689,4,,,,16.00,,,,,,500.00,demo.google.com,Cluster-c473761
VM-229409,PoweredOn,Powered Off,Other Linux (32-bit),698,695,3,,,3,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-3297571,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1712,739,973,1712,739,973,2,100,70,31,16.00,100,1918,1824,1169,3414,288.00,demo.google.com,Cluster-c473761
VM-122396,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),2315,710,1605,2315,710,1605,2,98,12,5,3.00,100,1261,975,1132,1808,475.00,demo.google.com,Cluster-c473761
VM-458,PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),2410,721,1689,,,1689,2,,,,8.00,,,,,,500.00,demo.google.com,Cluster-c473761
VM-2857443,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4133,755,3378,,,3378,4,,,,16.00,,,,,,999.87,demo.google.com,Cluster-c344303
VM-887281,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),26904,712,26192,,,26192,2,,,,4.00,,,,,,7753.00,demo.google.com,Cluster-c472963
VM-3297777,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),847,712,135,846,711,135,2,57,6,2,4.00,87,1327,1218,357,85,40.00,demo.google.com,Cluster-c473761
VM-427186,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1007,737,270,,,270,4,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-122661,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2225,739,1486,,,1486,2,,,,16.00,,,,,,440.00,demo.google.com,Cluster-c473761
VM-3290192,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1777,836,941,,,941,16,,,,7.98,,,,,,278.47,demo.google.com,Cluster-c344303
VM-2882132,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1245,772,473,,,473,6,,,,16.00,,,,,,140.00,demo.google.com,Cluster-c344303
VM-1385265,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1807,962,845,,,845,16,,,,64.00,,,,,,250.00,demo.google.com,Cluster-c473761
VM-1367529,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),922,770,152,,,152,8,,,,8.00,,,,,,45.00,demo.google.com,Cluster-c344303
VM-475540,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),915,712,203,,,203,2,,,,4.00,,,,,,60.00,demo.google.com,Cluster-c862031
VM-3287570,PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),764,696,68,,,68,1,,,,0.50,,,,,,20.00,demo.google.com,Cluster-c473761
VM-2634976,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3353,985,2368,,,2368,10,,,,96.00,,,,,,701.00,demo.google.com,Cluster-c472963
VM-1590939,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),915,712,203,907,704,203,2,17,4,3,4.00,100,57,9,50,423,60.00,demo.google.com,Cluster-c473761
VM-3300581,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),743,701,42,742,700,42,1,38,4,3,3.00,80,265,260,6,719,12.50,demo.google.com,Cluster-c473761
VM-1906061,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1950,764,1186,,,1186,4,,,,20.00,,,,,,351.00,demo.google.com,Cluster-c473761
VM-2466931,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1078,737,341,1078,737,341,4,100,89,85,8.00,100,1098,1029,920,1505,101.00,demo.google.com,Cluster-c473761
VM-1451056,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),697,697,0,,,0,1,,,,1.00,,,,,,0.10,demo.google.com,Cluster-c473761
VM-1454310,PoweredOn,Powered On,Red Hat Enterprise Linux 6 (64-bit),924,721,203,901,698,203,2,20,1,1,8.00,22,8,0,8,40,60.00,demo.google.com,Cluster-c473761
VM-1991514,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1228,755,473,1228,755,473,4,100,44,24,16.00,100,3006,2583,1237,1020,140.00,demo.google.com,Cluster-c473761
VM-427168,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),982,712,270,,,270,2,,,,4.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-3298337,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1042,721,321,1035,714,321,2,100,16,2,8.00,65,1280,1269,399,977,95.00,demo.google.com,Cluster-c473761
VM-2672126,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3289,755,2534,,,2534,4,,,,16.00,,,,,,750.00,demo.google.com,Cluster-c472963
VM-3298667,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2484,791,1693,2484,791,1693,4,100,75,50,32.00,100,4393,4297,2461,1812,501.00,demo.google.com,Cluster-c473761
VM-2434076,"",Powered Off,Other (32-bit),1373,697,676,,,676,1,,,,1.00,,,,,,200.00,demo.google.com,Cluster-c344303
VM-122760,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),731,697,34,,,34,1,,,,1.00,,,,,,10.00,demo.google.com,Cluster-c473761
VM-3104113,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1915,699,1216,,,1216,1,,,,2.00,,,,,,360.00,demo.google.com,Cluster-c473761
VM-1699163,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),813,712,101,,,101,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-3296507,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1246,739,507,1245,738,507,2,100,67,36,16.00,98,1619,1520,1296,1876,150.00,demo.google.com,Cluster-c473761
VM-3298381,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1044,770,274,1044,770,274,8,100,31,17,8.00,100,1430,1296,852,2655,81.00,demo.google.com,Cluster-c473761
VM-1481532,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4133,755,3378,,,3378,4,,,,16.00,,,,,,1000.00,demo.google.com,Cluster-c344303
VM-2677744,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),889,788,101,,,101,8,,,,16.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-826262,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2207,737,1470,,,1470,4,,,,8.00,,,,,,435.00,demo.google.com,Cluster-c472963
VM-1594097,PoweredOn,Powered On,Ubuntu Linux (64-bit),1248,707,541,1248,707,541,2,57,25,21,2.00,100,1750,632,1281,3027,160.00,demo.google.com,Cluster-c473761
VM-414310_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),881,712,169,,,169,2,,,,4.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-3165924,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1300,911,389,,,389,12,,,,56.00,,,,,,115.00,demo.google.com,Cluster-c473761
VM-113492,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),873,704,169,,,169,1,,,,4.00,,,,,,50.00,demo.google.com,Cluster-c472963
VM-515883_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1077,739,338,,,338,2,,,,16.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-3300386,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),743,701,42,742,700,42,1,23,13,12,3.00,83,277,262,15,277,12.50,demo.google.com,Cluster-c473761
VM-2998594,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),3810,770,3040,,,3040,8,,,,8.00,,,,,,900.00,demo.google.com,Cluster-c473761
VM-2164330,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3569,863,2706,,,2706,4,,,,64.00,,,,,,801.00,demo.google.com,Cluster-c862031
VM-1053702,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1237,730,507,,,507,2,,,,12.00,,,,,,150.00,demo.google.com,Cluster-c473761
VM-692065,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1177,772,405,1177,772,405,6,100,78,63,16.00,100,2103,1866,783,1053,120.00,demo.google.com,Cluster-c473761
VM-3298301,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),999,712,287,999,712,287,2,82,13,9,4.00,100,1412,1397,364,392,85.00,demo.google.com,Cluster-c473761
VM-122617,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),956,770,186,915,729,186,8,37,11,4,8.00,100,995,707,990,879,55.00,demo.google.com,Cluster-c473761
VM-1958955,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1247,737,510,,,510,4,,,,8.00,,,,,,151.00,demo.google.com,Cluster-c473761
VM-2502780,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),813,712,101,,,101,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-515885,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1077,739,338,,,338,2,,,,16.00,,,,,,100.00,demo.google.com,Cluster-c862031
VM-3166090,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1300,911,389,1300,911,389,12,100,66,46,56.00,100,1917,1080,1916,2293,115.00,demo.google.com,Cluster-c473761
VM-2383897,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1078,737,341,,,341,4,,,,8.00,,,,,,101.00,demo.google.com,Cluster-c473761
VM-414310,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),881,712,169,,,169,2,,,,4.00,,,,,,50.00,demo.google.com,Cluster-c862031
VM-1991508,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1228,755,473,1220,747,473,4,63,22,6,16.00,100,2324,2321,1384,1134,140.00,demo.google.com,Cluster-c473761
VM-122659,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2081,730,1351,,,1351,2,,,,12.00,,,,,,400.00,demo.google.com,Cluster-c473761
VM-3298359,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1067,761,306,1026,720,306,8,35,17,8,4.00,100,3583,1452,3041,2028,90.50,demo.google.com,Cluster-c473761
VM-842568,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1147,742,405,,,405,4,,,,10.00,,,,,,120.00,demo.google.com,Cluster-c473761
VM-892358,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1349,808,541,,,541,6,,,,32.00,,,,,,160.00,demo.google.com,Cluster-c344303
VM-1721307,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),940,737,203,,,203,4,,,,8.00,,,,,,60.00,demo.google.com,Cluster-c473761
VM-2186373,PoweredOn,Powered On,Red Hat Enterprise Linux 7 (64-bit),1111,773,338,1102,764,338,4,56,33,30,24.00,98,16,0,16,951,100.00,demo.google.com,Cluster-c473761
