AWS to GCP Cloud Migration Simulator for Google Demo Customer
,
Applied Filters
AWS Instance Match Filter,All Matched AWS Instances
,
Card Settings
GCP Location,United States
Storage Type,Zonal
Storage Media,Optimal
Instance CPU,Intel Based
Match to standard instances only,No
Exclude E2 instances,Yes
Include Sole Tenant Nodes,Yes
Allow Oversubscription,Yes
BYO Microsoft Licenses,Yes
Exclude Live Migration Nodes,No
Allow Desktop OS/MSDN,No
Term Length,1 Year
Instance Class,Regular
BYO Linux Licenses,No
,
Rightsizing Criteria
Rightsize AWS Instances using,AWS Instance as Configured
,
Table Data
AWS Instance Name,Tags,AWS Instance State,AWS Instance,AWS Instance OS,GCP Instance Cost / Year ($),Instance Cost Portion ($),Sole Tenant Node Cost Portion ($),GPU Cost Portion ($),OS Cost Portion ($),Storage Cost Portion ($),GCP Instance,GCP Instance vCPU,GCP Instance vRAM (GB),Sole Tenant Node,GCP GPU,Storage Media,vCPU,vCPU Peak Usage (%),vCPU 99th %-ile Usage (%),vCPU 95th %-ile Usage (%),vRAM (GB),Peak Reads,Peak Writes,vDisk Capacity (GB)
i-51be19a8,Canditate;gcp-candidate;pa,Powered On,m1.xlarge,,5496,1049,0,0,0,4447,n1-standard-4,4,15.00,,0,SSD,4,51,33,27,15.00,,,2180.00
i-50be19a9,Canditate;gcp-candidate;pa,Powered On,m1.xlarge,,5496,1049,0,0,0,4447,n1-standard-4,4,15.00,,0,SSD,4,47,36,28,15.00,,,2180.00
i-9637c3a09cc30b469,Canditate;gcp-candidate;pa,Powered On,m3.medium,,311,262,0,0,0,49,n1-standard-1,1,3.75,,0,SSD,1,38,3,0,3.75,,,24.00
i-4f420956,Canditate;gcp-candidate;pa,Powered On,m3.xlarge,,1207,1049,0,0,0,158,n1-standard-4,4,15.00,,0,HDD,4,22,8,5,15.00,,,330.00
i-74d71ddb,Canditate;gcp-candidate;pa,Powered On,m3.xlarge,,1229,1049,0,0,0,180,n1-standard-4,4,15.00,,0,SSD,4,12,8,5,15.00,,,88.00
i-f95308a0,Canditate;gcp-candidate;pa,Powered On,m3.xlarge,,1327,1049,0,0,0,278,n1-standard-4,4,15.00,,0,HDD,4,13,9,6,15.00,,,580.00
i-6cc14e29,Canditate;gcp-candidate;pa,Powered On,m3.medium,,275,262,0,0,0,13,n1-standard-1,1,3.75,,0,HDD,1,3,2,2,3.75,,,28.00
i-a951be0f,c3on;Canditate;gcp-candidate;ibm1;pa,Powered On,c3.2xlarge,,2089,1746,0,0,0,343,n2-custom,8,15.00,,0,SSD,8,10,7,6,15.00,,,168.00
i-992b46c6,Canditate;gcp-candidate;pa,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,9,4,4,3.75,,,12.00
i-33876cb0,c3on;Canditate;gcp-candidate;ibm1;pa,Powered On,c3.large,,519,437,0,0,0,82,n2-custom,2,3.75,,0,SSD,2,12,1,1,3.75,,,40.00
i-31351635,Canditate;gcp-candidate;pa,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,6,5,5,3.75,,,12.00
i-ae6b7d58,Canditate;gcp-candidate;pa,Powered On,r3.2xlarge,,6249,2822,0,0,0,3427,n2-custom,8,61.00,,0,SSD,8,28,23,20,61.00,,,1680.00
i-e41d328c,Canditate;gcp-candidate;m3largepower;pa,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,100,57,36,7.50,,,40.00
i-397de596,Canditate;gcp-candidate;pa,Powered On,m1.xlarge,,5496,1049,0,0,0,4447,n1-standard-4,4,15.00,,0,SSD,4,8,1,0,15.00,,,2180.00
i-e8c4addd,Canditate;gcp-candidate;pa,Powered On,m1.medium,,1200,262,0,0,0,938,n1-standard-1,1,3.75,,0,SSD,1,37,2,2,3.75,,,460.00
i-240b2ec8,Canditate;gcp-candidate;m3largepower;pa,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,100,100,100,7.50,,,40.00
i-1e0b2ed4,Canditate;gcp-candidate;m3largepower;pa,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,100,100,100,7.50,,,40.00
i-098810c8,Canditate;gcp-candidate;pa,Powered On,r3.2xlarge,,6249,2822,0,0,0,3427,n2-custom,8,61.00,,0,SSD,8,13,11,10,61.00,,,1680.00
i-051431cd,gcp-candidate;m3largepower;pa,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,100,48,33,7.50,,,40.00
i-a7767b2e,Canditate;gcp-candidate;pa,Powered On,m3.xlarge,,1229,1049,0,0,0,180,n1-standard-4,4,15.00,,0,SSD,4,20,16,13,15.00,,,88.00
i-19d788de,Canditate;gcp-candidate;pa,Powered On,m3.xlarge,,1229,1049,0,0,0,180,n1-standard-4,4,15.00,,0,SSD,4,100,33,26,15.00,,,88.00
i-116fd4d2,Canditate;gcp-candidate;pa;ssd,Powered On,m3.xlarge,,1229,1049,0,0,0,180,n1-standard-4,4,15.00,,0,SSD,4,56,34,26,15.00,,,88.00
i-106fd4d3,Canditate;gcp-candidate;pa,Powered On,m3.xlarge,,1229,1049,0,0,0,180,n1-standard-4,4,15.00,,0,SSD,4,60,34,25,15.00,,,88.00
i-6cd834a7,Canditate;gcp-candidate;pa,Powered On,r3.2xlarge,,6249,2822,0,0,0,3427,n2-custom,8,61.00,,0,SSD,8,25,18,16,61.00,,,1680.00
i-35c073b8,Canditate;gcp-candidate;m3largepower;pa,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,100,100,100,7.50,,,40.00
i-34c073b9,Canditate;gcp-candidate;m3largepower;pa,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,100,100,100,7.50,,,40.00
i-3ac073bd,Canditate;gcp-candidate;m3largepower;pa,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,100,100,100,7.50,,,40.00
i-39c073be,Canditate;gcp-candidate;m3largepower;pa,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,99,96,93,7.50,,,40.00
i-52c83214,Canditate,Powered Off,m1.large,,2646,524,0,0,0,2122,n1-standard-2,2,7.50,,0,SSD,2,,,,7.50,,,1040.00
i-e054b174,Canditate;gcp-candidate,Powered Off,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,,,,7.50,,,40.00
i-e154b175,Canditate;gcp-candidate,Powered Off,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,,,,7.50,,,40.00
i-e654b17e,Canditate;gcp-candidate,Powered Off,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,,,,7.50,,,40.00
i-e5230aea,Canditate;gcp-candidate,Powered Off,m3.xlarge,,1620,1049,0,0,0,571,n1-standard-4,4,15.00,,0,SSD,4,,,,15.00,,,280.00
i-9a19a2a3a588eba46,Canditate;gcp-candidate;m3largepower;pa;production,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,19,8,6,7.50,,,40.00
i-98e924854a9e06813,Canditate;gcp-candidate;m3largepower;pa;production,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,20,5,4,7.50,,,40.00
i-921754ec5fe3895a2,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,17,0,0,7.50,,,60.00
i-22834768,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,99,5,3,1.70,,,168.00
i-a1ae670e,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,27,19,8,1.70,,,168.00
i-8cae6719,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,87,14,12,1.70,,,168.00
i-9f10b9626a0883c1a,Canditate;gcp-candidate;pa;production,Powered On,t2.small,,262,221,0,0,0,41,n1-custom,1,2.00,,0,SSD,1,16,2,0,2.00,,,20.00
i-396cf8e5,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,10,1,1,3.75,,,12.00
i-3a6cf8ea,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,10,1,1,3.75,,,12.00
i-f869dd67,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,10,2,2,3.75,,,12.00
i-6079fef6,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.large,,519,437,0,0,0,82,n2-custom,2,3.75,,0,SSD,2,9,1,1,3.75,,,40.00
i-9108f7aa,Canditate;gcp-candidate;pa;production,Powered On,m3.xlarge,,1229,1049,0,0,0,180,n1-standard-4,4,15.00,,0,SSD,4,22,9,6,15.00,,,88.00
i-9abc424fa912f9747,Canditate;gcp-candidate;pa;production,Powered On,t2.small,,384,221,0,0,0,163,n1-custom,1,2.00,,0,SSD,1,100,100,100,2.00,,,80.00
i-949eefdb8118ba779,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,53,7,3,1.70,,,168.00
i-1f4920df,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.xlarge,,1053,873,0,0,0,180,n2-custom,4,7.50,,0,SSD,4,30,6,6,7.50,,,88.00
i-004920e6,c3on;gcp-candidate;ibm1;pa;production,Powered On,c3.xlarge,,1053,873,0,0,0,180,n2-custom,4,7.50,,0,SSD,4,36,7,5,7.50,,,88.00
i-9e4f5575801d63a38,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,90,69,55,30.50,,,90.00
i-975903cba4a88f140,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,25,2,0,7.50,,,60.00
i-6937af46,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,3,1,1,3.75,,,12.00
i-94884924093d324ec,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.large,,543,437,0,0,0,106,n2-custom,2,3.75,,0,SSD,2,6,1,0,3.75,,,52.00
i-070fb7b0,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,388,262,0,0,0,126,n1-standard-1,1,3.75,,0,SSD,1,91,55,25,3.75,,,62.00
i-9861902799b1cd17d,Canditate;gcp-candidate;pa;production,Powered On,m4.large,,552,536,0,0,0,16,n2-standard-2,2,8.00,,0,SSD,2,17,8,3,8.00,,,8.00
i-9dda9e7ca1922286a,Canditate;gcp-candidate;pa;production,Powered On,m4.large,,552,536,0,0,0,16,n2-standard-2,2,8.00,,0,SSD,2,16,7,3,8.00,,,8.00
i-c0d38031,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.large,,483,437,0,0,0,46,n2-custom,2,3.75,,0,HDD,2,13,0,0,3.75,,,96.00
i-9ce2e4c9d4df045d1,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.large,,519,437,0,0,0,82,n2-custom,2,3.75,,0,SSD,2,26,2,2,3.75,,,40.00
i-9e2ae3fd1f6417982,Canditate;gcp-candidate;pa;production,Powered On,m3.xlarge,,1229,1049,0,0,0,180,n1-standard-4,4,15.00,,0,SSD,4,99,97,79,15.00,,,88.00
i-906e535338c60c2e8,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-9f93b21b599942c87,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,3,0,0,7.50,,,60.00
i-f9991c95,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.large,,519,437,0,0,0,82,n2-custom,2,3.75,,0,SSD,2,14,1,1,3.75,,,40.00
i-3589ddab,Canditate;gcp-candidate;pa;production,Powered On,r3.large,,787,705,0,0,0,82,n2-custom,2,15.25,,0,SSD,2,34,33,32,15.25,,,40.00
i-cb32b5b9,Canditate;gcp-candidate;pa;production,Powered On,m1.large,,2254,524,0,0,0,1730,n1-standard-2,2,7.50,,0,SSD,2,26,6,4,7.50,,,848.00
i-804f4fb7,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,89,10,9,1.70,,,168.00
i-9ebc320a1199c4de5,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,81,66,55,30.50,,,90.00
i-94bcd9c7e70ba7e6d,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-9ba299c3952e8efa1,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-905ae08075dd04c36,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-941f87dd173dc8c49,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-9f5679d5ff8b44ded,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-9692dcc37408d5b1a,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-989f2fa262f065e7f,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-93bca4f2aa3f83ffd,Canditate;gcp-candidate;pa;production,Powered On,t2.small,,486,221,0,0,0,265,n1-custom,1,2.00,,0,SSD,1,100,30,7,2.00,,,130.00
i-fe1c2f08,Canditate;gcp-candidate;pa;production,Powered On,r3.large,,2851,705,0,0,0,2146,n2-custom,2,15.25,,0,SSD,2,62,49,42,15.25,,,1052.00
i-ab6457c2,Canditate;gcp-candidate;pa;production,Powered On,m1.medium,,1115,262,0,0,0,853,n1-standard-1,1,3.75,,0,SSD,1,94,13,2,3.75,,,418.00
i-96c327e2021df94cd,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,93,8,3,3.75,,,12.00
i-9af0a245ac8420740,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,95,8,2,3.75,,,12.00
i-6ea6c7a4,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.xlarge,,3627,873,0,0,0,2754,n2-custom,4,7.50,,0,SSD,4,85,72,63,7.50,,,1350.00
i-3da846d1,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,100,100,100,1.70,,,168.00
i-9ecc616419bdbc03c,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-339bc8eb,Canditate;gcp-candidate;pa;production,Powered On,r3.large,,2851,705,0,0,0,2146,n2-custom,2,15.25,,0,SSD,2,60,47,40,15.25,,,1052.00
i-d51cccaa,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,90,16,14,1.70,,,168.00
i-97f2a39592e29172e,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.large,,519,437,0,0,0,82,n2-custom,2,3.75,,0,SSD,2,30,6,3,3.75,,,40.00
i-6d15263c,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,275,262,0,0,0,13,n1-standard-1,1,3.75,,0,HDD,1,9,5,2,3.75,,,28.00
i-9eaf955b9a7929ffb,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,3,0,0,7.50,,,60.00
i-982a738ab9b04269d,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.xlarge,,1057,873,0,0,0,184,n2-custom,4,7.50,,0,SSD,4,77,37,16,7.50,,,90.00
i-f053e957,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,268,262,0,0,0,6,n1-standard-1,1,3.75,,0,HDD,1,96,31,30,3.75,,,12.00
i-ff53e95e,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,268,262,0,0,0,6,n1-standard-1,1,3.75,,0,HDD,1,98,35,34,3.75,,,12.00
i-9426e4c5071b1dbaf,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.xlarge,,1057,873,0,0,0,184,n2-custom,4,7.50,,0,SSD,4,67,57,43,7.50,,,90.00
i-9c198481984aa1d0c,Canditate;gcp-candidate;pa;production,Powered On,t2.nano,,63,47,0,0,0,16,f1-micro,0.2,0.60,,0,SSD,1,14,2,0,0.50,,,8.00
i-156cd216,c3on;Canditate;gcp-candidate;pa;production,Powered On,c3.large,,483,437,0,0,0,46,n2-custom,2,3.75,,0,HDD,2,8,0,0,3.75,,,96.00
i-9ab4214c565de9d91,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,95,82,65,30.50,,,6010.00
i-9571fcb9c7abddda6,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,94,82,66,30.50,,,6010.00
i-9762f844ef62bfb84,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,85,71,58,30.50,,,6010.00
i-981be4598647b07b0,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,90,74,58,30.50,,,6010.00
i-9deba88108d8b2811,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,94,76,63,30.50,,,6010.00
i-9dfedbb9d646202bc,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,88,79,66,30.50,,,6010.00
i-92fa7606bbe37c4ce,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,81,69,57,30.50,,,6010.00
i-90604ca52b9273b28,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,97,77,60,30.50,,,6010.00
i-9963904ff1d9c7944,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,97,87,72,30.50,,,6010.00
i-9f02c6e4d088e47d9,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,94,83,64,30.50,,,6010.00
i-938754ae9f417fd4a,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,91,83,64,30.50,,,6010.00
i-9b7bbe9e8b53ee7a3,Canditate;d2poweron;gcp-candidate;pa;production,Powered On,d2.xlarge,,4296,1411,0,0,0,2885,n2-custom,4,30.50,,0,HDD,4,98,87,67,30.50,,,6010.00
i-9a50542114e88734d,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-523e9f44,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,98,10,10,1.70,,,168.00
i-904522a9b46a429a8,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,82,13,12,1.70,,,168.00
i-96374f64151017e0d,Canditate;gcp-candidate;m3largepower;pa;production,Powered On,m3.large,,810,524,0,0,0,286,n1-standard-2,2,7.50,,0,SSD,2,86,38,28,7.50,,,140.00
i-94286144e99c65ec5,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-9147a07e76ea286ac,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-99c217dc3a065ad5d,Canditate;gcp-candidate;pa;production,Powered On,t2.medium,,748,442,0,0,0,306,n2-custom,2,4.00,,0,SSD,2,48,18,9,4.00,,,150.00
i-dc6b7104,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,17,10,7,1.70,,,168.00
i-46d671ba,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,86,17,15,1.70,,,168.00
i-2253313c,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,10,1,0,3.75,,,12.00
i-e32558c4,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,274,262,0,0,0,12,n1-standard-1,1,3.75,,0,HDD,1,100,89,1,3.75,,,24.00
i-9164e8c8c7a4def88,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-9cfe3037f34d79487,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,97,85,0,7.50,,,60.00
i-9ac70b772e12baff5,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,3,0,0,7.50,,,60.00
i-ab205974,Canditate;gcp-candidate;pa;production,Powered On,r3.large,,740,705,0,0,0,35,n2-custom,2,15.25,,0,HDD,2,8,0,0,15.25,,,72.00
i-9a441745d14c1c2da,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,3,3,3,30.50,,,90.00
i-9e4f3eebef08cfd54,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,4,3,3,30.50,,,90.00
i-a10c3628,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.large,,519,437,0,0,0,82,n2-custom,2,3.75,,0,SSD,2,21,5,2,3.75,,,40.00
i-a00c3629,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.large,,519,437,0,0,0,82,n2-custom,2,3.75,,0,SSD,2,22,5,3,3.75,,,40.00
i-9716c094a78a55f98,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,19,1,1,3.75,,,12.00
i-e5524302,Canditate;gcp-candidate;pa;production,Powered On,r3.4xlarge,,6705,5644,0,0,0,1061,n2-custom,16,122.00,,0,SSD,16,8,7,7,122.00,,,520.00
i-9f920d001d6f43cdc,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,311,262,0,0,0,49,n1-standard-1,1,3.75,,0,SSD,1,32,4,1,3.75,,,24.00
i-9527d975,Canditate;gcp-candidate;pa;production,Powered On,r3.large,,836,705,0,0,0,131,n2-custom,2,15.25,,0,SSD,2,3,1,1,15.25,,,64.00
